# q_index  q(1/Ang)  omega_L(meV)  gamma_L(meV)  omega_T(meV)  gamma_T(meV)
4 0.06778256 12.16881512 720.83320126 12.27925807 792.04875214
6 0.10167385 16.46902559 778.25070799 2.92676434 784.05437208
7 0.11861949 1.94997329 0.48805743 15.84950017 764.76716343
8 0.13556513 2.13502292 0.46379909 9.64067212 846.13010999
10 0.16945641 2.61469169 0.95806250 1.17078380 0.25677899
12 0.20334769 3.09810698 1.27664634 1.43676523 0.46596469
13 0.22029333 3.35696550 1.58316803 1.11727058 2.48793562
14 0.23723898 3.60559559 1.73587219 1.22976349 2.63841778
15 0.25418462 4.08903617 1.87439694 0.72770371 2.86523807
16 0.27113026 4.17192554 2.20767088 1.83771182 0.77824666
17 0.28807590 4.54886913 2.29884764 1.98752459 0.96285803
18 0.30502154 4.84327926 2.50528801 2.08121524 1.08940443
19 0.32196718 5.02942193 2.76732406 2.26326093 1.11768573
20 0.33891282 5.27769636 3.21840723 2.29454264 1.08852647
21 0.35585846 5.48493042 3.30778963 2.44542578 1.39824580
22 0.37280410 5.81214665 3.93409163 2.61546318 1.46840359
23 0.38974975 6.05758123 4.51408306 2.72871404 1.66284850
24 0.40669539 6.41306440 4.18759539 2.81728827 1.72173707
25 0.42364103 6.72348163 4.22370625 2.97293058 1.83242886
26 0.44058667 7.06845519 4.98534174 3.05979500 2.14972275
27 0.45753231 7.30222298 5.16597473 3.15127830 2.19698624
28 0.47447795 7.61396773 4.79706966 3.30414107 2.35651386
29 0.49142359 7.85041253 5.67577433 3.39640114 2.54458316
30 0.50836923 7.97329844 5.73388895 3.55554790 2.54609505
31 0.52531487 8.23964832 6.25815523 3.65204467 2.73632668
32 0.54226052 8.26135492 6.40048958 3.89436901 2.91521741
33 0.55920616 9.00196111 6.89033538 3.91422503 3.14804856
34 0.57615180 9.16875698 7.23025847 3.97361153 3.15907439
35 0.59309744 9.48771492 7.59635403 4.07801651 3.27791995
36 0.61004308 9.50409791 7.81783047 4.25285777 3.50729329
37 0.62698872 9.73748920 7.97702964 4.39157185 3.66000508
38 0.64393436 10.54052332 8.30191014 4.47089380 3.66113021
39 0.66088000 10.46834088 8.48499631 4.59466364 4.04683129
40 0.67782564 11.04340219 8.47342046 4.74240887 4.02712562
41 0.69477129 11.24811799 8.20567727 4.90620034 4.15804280
42 0.71171693 11.41865230 9.24578819 4.90256976 4.34421397
43 0.72866257 11.62697601 9.15133375 5.02783448 4.44773407
44 0.74560821 11.69101170 9.09368277 5.13436130 4.41901600
45 0.76255385 12.02107466 8.89439234 5.26664616 4.60937875
46 0.77949949 12.47697780 9.15065107 5.39059512 4.63014622
47 0.79644513 13.00137088 9.00008221 5.45954889 4.95504634
48 0.81339077 12.94319199 9.14695606 5.56377496 4.90902430
49 0.83033641 13.01968854 9.17828490 5.62871242 5.11795726
50 0.84728206 13.29187371 9.22765916 5.79879390 5.15648731
51 0.86422770 13.88427500 9.11437180 5.91327532 5.32090603
52 0.88117334 13.91848760 8.91831234 5.90293720 5.38644654
53 0.89811898 13.91635357 8.84545514 5.96882152 5.60694839
54 0.91506462 14.42923306 8.62716192 6.08163308 5.84656443
55 0.93201026 14.62115859 8.28195995 6.13486367 5.79845610
56 0.94895590 14.42959701 8.69017404 6.26963780 6.09442765
57 0.96590154 14.36941187 8.34866607 6.33062902 6.12928882
58 0.98284719 14.56090723 8.30159239 6.46210292 6.31791963
59 0.99979283 14.63928374 8.44458578 6.49804582 6.39736876
