# q_index  q(1/Ang)  omega_L(meV)  gamma_L(meV)  omega_T(meV)  gamma_T(meV)
10 0.16946790 2.71240997 1.14616250 1.41263507 0.38422689
11 0.18641469 3.09311502 0.89084649 0.51891325 2.35069809
12 0.20336148 3.40744846 1.73150311 1.71946060 0.66514876
13 0.22030827 3.66628572 1.82172729 1.84269257 0.65516460
14 0.23725506 4.04466343 1.73630001 1.95868008 0.71130843
15 0.25420184 4.53638226 2.41448225 2.13754957 0.86073110
16 0.27114863 4.69133480 2.67615562 2.26160941 0.99083272
17 0.28809542 5.36401802 2.90046454 2.46067960 1.03888273
18 0.30504221 5.44229985 3.56345516 2.56727408 1.22664877
19 0.32198900 5.67902545 3.75213779 2.69872073 1.34183705
20 0.33893579 5.90711417 3.39678183 2.76658915 1.55060669
21 0.35588258 6.12868050 4.07800671 2.91366610 1.53814825
22 0.37282937 6.66829130 4.00315523 3.05939748 1.83536498
23 0.38977616 6.63531106 4.59234563 3.19688243 1.84042556
24 0.40672295 7.18466217 4.48105214 3.33808060 1.86603084
25 0.42366974 7.39429790 4.96352213 3.53562686 2.23768572
26 0.44061653 7.62173227 5.64099411 3.60706081 2.20247944
27 0.45756332 8.13223025 5.57325188 3.71089965 2.45218912
28 0.47451011 8.41722932 5.91138592 3.84881304 2.54190884
29 0.49145690 8.78505610 6.22200467 4.05651771 2.88586875
30 0.50840369 9.16838206 6.50589623 4.15086235 3.07380641
31 0.52535048 9.47101864 6.44115695 4.18812464 2.97397449
32 0.54229727 9.74640307 7.16239204 4.39045116 3.18346725
33 0.55924406 9.95220118 6.70487015 4.58659037 3.34475421
34 0.57619085 10.19261406 7.38064964 4.61365994 3.46269114
35 0.59313764 10.89967191 7.34059722 4.79112123 3.56357366
36 0.61008443 11.28711075 7.62109654 4.86261102 3.74842404
37 0.62703122 11.49019705 7.41480137 5.00865332 3.76822646
38 0.64397801 11.64012465 7.61818332 5.14708865 3.90818452
39 0.66092480 12.12289193 7.43331699 5.34979381 4.08745609
40 0.67787159 12.28594058 7.69848147 5.36241616 4.14713524
41 0.69481838 12.63644220 7.52524844 5.50453605 4.34795488
42 0.71176517 12.89291127 7.39401993 5.53504989 4.54659306
43 0.72871195 13.05020986 7.34020846 5.74764963 4.52344060
44 0.74565874 13.11230117 7.67908618 5.72558603 4.62902941
45 0.76260553 13.14122848 7.38981746 5.90302615 4.72922586
46 0.77955232 13.48976605 7.68061714 5.98444756 4.77535777
47 0.79649911 13.55961812 7.57180529 6.03112120 4.89610359
48 0.81344590 13.75873702 7.41817372 6.16778428 5.25235613
49 0.83039269 13.91705567 7.42888708 6.27697025 5.25099692
50 0.84733948 14.03063232 7.41146748 6.34342583 5.21688263
51 0.86428627 14.00600789 7.68838325 6.47498740 5.57267651
52 0.88123306 14.12121816 7.41257113 6.47297790 5.61996300
53 0.89817985 14.16207576 7.60868176 6.63365964 5.78367554
54 0.91512664 14.06601808 7.57978392 6.76251362 5.85389749
55 0.93207343 13.96285778 7.45348275 6.77475785 5.78497140
56 0.94902022 14.14500969 7.64734668 6.86157242 6.29118453
57 0.96596701 14.08750681 7.55138309 6.97332911 6.31042174
58 0.98291380 13.87813179 7.69805948 6.98931053 6.40739434
59 0.99986059 13.66954624 7.86824973 6.93874093 6.25586351
